Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Texas,Anderson,0,0,0,0,0,0,0,0,1,1,1,1
Texas,Andrews,0,0,0,0,0,1,0,0,0,0,0,1
Texas,Angelina,0,0,0,1,2,1,3,3,5,5,5,8
Texas,Aransas,0,0,0,0,0,0,0,2,0,0,0,0
Texas,Archer,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Armstrong,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Atascosa,2,2,2,2,2,2,2,2,2,2,2,2
Texas,Austin,0,0,0,1,1,1,2,2,2,2,4,4
Texas,Bailey,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Bandera,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Bastrop,0,1,1,2,2,4,5,6,6,8,10,10
Texas,Baylor,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Bee,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Bell,16,18,19,20,25,28,28,36,44,46,51,51
Texas,Bexar,57,69,69,84,113,125,140,157,168,207,229,254
Texas,Blanco,1,1,1,1,1,1,1,1,1,1,1,1
Texas,Borden,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Bosque,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Bowie,1,1,1,1,2,3,3,4,9,9,9,10
Texas,Brazoria,16,28,28,39,39,61,61,68,95,95,109,123
Texas,Brazos,12,16,21,28,31,40,44,46,53,63,68,72
Texas,Brewster,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Briscoe,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Brooks,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Brown,2,2,2,3,3,3,3,3,3,3,3,4
Texas,Burleson,0,0,0,0,0,1,1,1,1,1,1,1
Texas,Burnet,1,1,1,1,1,1,2,3,3,3,4,4
Texas,Caldwell,0,0,0,0,0,1,1,1,1,1,1,2
Texas,Calhoun,0,0,2,2,3,3,5,6,7,7,8,8
Texas,Callahan,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Cameron,6,6,7,10,13,13,20,20,26,26,37,55
Texas,Camp,0,0,0,0,0,0,0,0,0,1,1,1
Texas,Carson,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Cass,0,0,1,1,1,2,2,2,2,3,4,4
Texas,Castro,2,2,5,6,7,8,8,8,8,8,8,9
Texas,Chambers,1,1,1,2,2,3,3,5,8,9,9,11
Texas,Cherokee,0,0,0,0,1,1,1,1,2,5,5,6
Texas,Childress,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Clay,0,0,0,0,0,0,0,0,0,1,1,1
Texas,Cochran,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Coke,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Coleman,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Collin,38,45,53,66,87,118,134,134,160,184,207,227
Texas,Collingsworth,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Colorado,0,0,0,0,0,0,0,0,2,2,2,4
Texas,Comal,3,5,7,8,9,9,9,11,11,12,15,18
Texas,Comanche,0,0,0,0,0,1,1,1,2,2,1,1
Texas,Concho,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Cooke,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Coryell,0,0,1,1,1,1,1,1,1,1,1,2
Texas,Cottle,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Crane,1,1,1,1,1,1,1,2,2,2,2,2
Texas,Crockett,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Crosby,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Culberson,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Dallam,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Dallas,155,169,247,303,367,439,488,549,631,731,831,921
Texas,Dawson,0,0,0,0,1,3,3,3,3,3,3,5
Texas,Deaf Smith,1,1,1,2,2,2,2,2,2,2,2,3
Texas,Delta,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Denton,30,38,51,83,137,148,165,165,206,206,254,273
Texas,DeWitt,1,1,2,2,3,3,3,3,6,6,4,6
Texas,Dickens,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Dimmit,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Donley,0,0,0,0,0,0,0,0,1,1,1,5
Texas,Duval,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Eastland,1,1,1,2,4,4,4,4,4,4,3,3
Texas,Ector,0,0,0,0,0,1,3,7,10,11,12,22
Texas,Edwards,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Ellis,3,6,7,7,10,13,13,15,20,20,26,27
Texas,El Paso,9,10,16,28,28,38,42,40,53,57,75,85
Texas,Erath,1,1,1,1,1,1,2,3,5,7,8,9
Texas,Falls,1,1,1,1,1,1,1,1,1,1,1,1
Texas,Fannin,1,1,1,1,1,1,1,1,1,1,1,2
Texas,Fayette,1,1,1,1,1,1,1,1,2,4,4,10
Texas,Fisher,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Floyd,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Foard,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Fort Bend,29,46,46,86,101,101,119,119,163,163,194,221
Texas,Franklin,0,0,0,0,0,0,1,1,1,1,1,1
Texas,Freestone,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Frio,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Gaines,1,1,1,1,1,1,1,1,1,1,1,1
Texas,Galveston,18,18,22,40,40,49,70,70,92,106,118,130
Texas,Garza,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Gillespie,0,0,0,0,0,0,0,0,1,1,1,1
Texas,Glasscock,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Goliad,0,0,0,0,0,0,0,0,0,0,1,1
Texas,Gonzales,0,0,0,0,0,0,0,0,0,1,1,1
Texas,Gray,0,0,0,0,0,0,0,0,0,0,1,2
Texas,Grayson,2,2,2,2,2,2,3,7,7,8,11,12
Texas,Gregg,1,1,3,4,4,4,4,5,5,8,8,13
Texas,Grimes,2,2,2,2,2,2,2,2,3,3,3,3
Texas,Guadalupe,2,4,4,9,8,8,10,13,15,17,20,23
Texas,Hale,0,0,1,1,1,1,1,1,1,1,6,6
Texas,Hall,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Hamilton,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Hansford,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Hardeman,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Hardin,2,2,2,2,4,6,9,9,12,13,14,15
Texas,Harris,78,134,185,203,229,445,526,563,680,847,955,1106
Texas,Harrison,0,0,0,1,1,1,1,1,1,3,5,5
Texas,Hartley,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Haskell,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Hays,7,7,10,11,13,13,13,16,38,42,42,47
Texas,Hemphill,0,0,0,0,0,0,0,0,0,0,0,1
Texas,Henderson,0,0,0,0,0,0,1,1,1,1,1,1
Texas,Hidalgo,2,2,7,9,11,18,27,28,38,46,62,79
Texas,Hill,0,0,0,0,0,0,1,1,1,2,3,3
Texas,Hockley,3,3,5,5,7,7,7,7,7,7,7,7
Texas,Hood,0,0,0,1,2,3,2,3,6,6,6,8
Texas,Hopkins,0,1,1,1,1,1,1,2,2,3,3,3
Texas,Houston,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Howard,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Hudspeth,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Hunt,0,1,1,1,1,1,1,3,4,4,4,8
Texas,Hutchinson,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Irion,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Jack,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Jackson,0,0,0,0,1,1,1,1,1,1,2,3
Texas,Jasper,0,0,0,0,0,0,0,1,1,1,2,3
Texas,Jeff Davis,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Jefferson,6,6,6,7,8,12,16,18,18,27,31,40
Texas,Jim Hogg,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Jim Wells,0,0,0,0,0,0,0,0,0,0,1,1
Texas,Johnson,2,2,3,3,6,8,8,8,8,12,17,18
Texas,Jones,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Karnes,0,0,0,1,1,1,2,2,2,2,2,2
Texas,Kaufman,0,0,2,2,2,2,2,3,3,4,5,9
Texas,Kendall,1,1,1,3,4,6,7,7,7,7,8,8
Texas,Kenedy,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Kent,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Kerr,0,0,0,0,0,0,0,0,1,1,1,2
Texas,Kimble,0,0,0,0,0,0,0,0,0,0,0,0
Texas,King,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Kinney,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Kleberg,0,0,0,0,0,1,1,1,1,1,2,1
Texas,Knox,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Lamar,1,1,1,1,1,1,3,3,3,3,3,3
Texas,Lamb,0,0,0,0,1,1,1,1,1,1,1,1
Texas,Lampasas,0,0,0,0,0,0,0,0,0,0,0,1
Texas,La Salle,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Lavaca,1,1,1,1,1,3,1,1,1,1,1,1
Texas,Lee,0,0,0,0,0,0,0,0,0,0,1,2
Texas,Leon,0,0,0,0,0,0,0,1,1,2,2,2
Texas,Liberty,1,1,1,1,2,2,2,2,2,3,3,5
Texas,Limestone,0,0,1,1,1,1,1,2,2,2,3,3
Texas,Lipscomb,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Live Oak,0,0,0,0,0,0,0,0,1,1,3,3
Texas,Llano,0,1,1,2,2,2,2,3,3,3,3,3
Texas,Loving,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Lubbock,9,12,13,19,29,31,41,51,77,100,108,117
Texas,Lynn,0,0,0,0,0,1,2,2,2,2,3,3
Texas,McCulloch,0,0,0,0,0,0,0,0,0,0,0,0
Texas,McLennan,16,24,24,28,33,34,34,36,39,44,48,49
Texas,McMullen,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Madison,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Marion,0,0,0,0,0,0,0,0,0,0,0,0
